,how_many_shops,property_id,locality_name,postal_code,streetname,housenumber,latitude,longitude,property_type,property_subtype,price,type_of_sale,nb_of_rooms,area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_area_plot,nb_of_facades,swimming_pool,state_of_building,surface_of_good
403,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
407,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,
408,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,
409,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
410,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
411,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,
412,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
